#Supplemental Data. Wilkins et al. Plant Cell (2016) 10.1105/tpc.16.00158.,,,,,,,,
#Supplemental Data Set 1: Differentially expressed genes,,,,,,,,
,,,,,,,,
gene,HEAT_UP,HEAT_DOWN,RECOV_HEAT_UP,RECOV_HEAT_DOWN,DROUGHT_UP,DROUGHT_DOWN,RECOV_DROUGHT_UP,RECOV_DROUGHT_DOWN
LOC_Os01g56330,0,0,0,0,1,0,0,0
LOC_Os01g56460,2,0,0,0,0,0,0,0
LOC_Os01g56470,11,0,0,0,0,0,0,0
LOC_Os01g56560,0,0,0,0,2,0,0,0
LOC_Os01g56660,0,0,0,0,1,0,0,0
LOC_Os01g56690,0,0,0,0,3,0,0,0
LOC_Os01g57240,0,0,0,0,2,0,1,0
LOC_Os01g57420,0,0,0,0,1,0,0,0
LOC_Os01g57450,0,0,0,0,1,0,1,0
LOC_Os01g57710,0,0,0,0,0,1,0,0
LOC_Os01g57740,0,0,0,0,2,0,0,0
LOC_Os01g57854,0,0,0,0,1,0,1,0
LOC_Os01g58130,0,0,0,0,4,0,1,0
LOC_Os01g58140,0,0,0,0,1,0,0,0
LOC_Os01g58150,0,0,0,0,3,0,0,0
LOC_Os01g58194,0,0,0,0,6,0,4,0
LOC_Os01g58550,0,0,0,0,1,0,0,0
LOC_Os01g58620,0,0,0,0,1,0,0,0
LOC_Os01g58850,0,0,0,0,3,0,0,0
LOC_Os01g59090,0,0,0,0,0,1,0,0
LOC_Os01g59840,0,2,0,0,0,0,0,0
LOC_Os01g59920,0,0,0,0,0,0,0,1
LOC_Os01g60020,0,0,0,0,1,0,1,0
LOC_Os01g60600,0,0,0,0,3,0,0,0
LOC_Os01g60730,0,0,1,0,2,0,0,0
LOC_Os01g60780,0,0,0,0,0,0,0,1
LOC_Os01g61080,0,0,0,0,2,0,0,0
LOC_Os01g61610,0,0,0,0,3,0,0,0
LOC_Os01g61630,0,0,0,0,0,1,0,0
LOC_Os01g61680,0,0,0,0,8,0,2,0
LOC_Os01g61990,0,0,0,0,1,0,0,0
LOC_Os01g62230,4,0,0,0,0,0,0,0
LOC_Os01g62290,16,0,0,0,0,0,0,0
LOC_Os01g62310,0,0,0,0,3,0,0,0
LOC_Os01g62584,0,0,0,0,4,0,0,0
LOC_Os01g62760,0,0,0,0,18,0,5,0
LOC_Os01g62770,0,0,0,0,11,0,2,0
LOC_Os01g62810,0,2,0,2,0,0,0,0
LOC_Os01g62890,1,0,0,0,0,0,0,0
LOC_Os01g62950,0,0,0,0,5,0,0,0
LOC_Os01g62970,0,0,0,0,1,0,0,0
LOC_Os01g63060,0,0,0,0,5,0,2,0
LOC_Os01g63160,3,0,0,0,0,0,0,0
LOC_Os01g63250,5,0,0,0,0,0,0,0
LOC_Os01g63870,0,0,0,0,0,1,0,0
LOC_Os01g63930,0,0,0,0,10,0,2,0
LOC_Os01g63980,0,0,0,0,6,0,3,0
LOC_Os01g64110,0,0,0,0,2,0,1,0
LOC_Os01g64120,14,0,0,0,0,0,0,0
LOC_Os01g64170,0,0,0,0,1,0,0,0
LOC_Os01g64300,0,0,0,0,2,0,0,0
LOC_Os01g64310,0,0,0,0,0,0,1,0
LOC_Os01g64360,0,0,0,0,11,0,2,0
LOC_Os01g64640,0,0,0,0,1,0,0,0
LOC_Os01g64730,4,0,0,0,0,0,0,0
LOC_Os01g64790,0,0,0,0,3,0,0,0
LOC_Os01g65260,0,0,0,0,0,1,0,0
LOC_Os01g65320,4,0,0,0,0,0,0,0
LOC_Os01g65370,0,0,0,0,1,0,0,0
LOC_Os01g65460,0,0,0,0,2,0,0,0
LOC_Os01g65520,0,0,0,0,6,0,1,0
LOC_Os01g65630,0,0,0,0,0,2,0,0
LOC_Os01g65920,3,0,0,0,0,0,0,0
LOC_Os01g66010,0,0,0,0,1,0,0,0
LOC_Os01g66120,0,0,0,0,2,0,0,0
LOC_Os01g66130,0,0,0,0,1,0,0,0
LOC_Os01g66530,0,0,0,0,2,0,0,0
LOC_Os01g67040,9,0,0,0,0,0,0,0
LOC_Os01g67054,4,0,0,0,0,0,0,0
LOC_Os01g67360,0,0,0,0,0,0,0,1
LOC_Os01g67420,8,0,0,0,0,0,0,0
LOC_Os01g67480,0,0,0,0,1,0,0,0
LOC_Os01g67540,0,0,0,0,3,0,0,0
LOC_Os01g67950,0,0,0,0,1,0,0,0
LOC_Os01g68140,0,0,0,0,2,0,0,0
LOC_Os01g68290,1,0,0,0,0,0,0,0
LOC_Os01g68650,0,0,0,0,1,0,0,0
LOC_Os01g68790,1,0,1,0,0,0,0,0
LOC_Os01g68960,28,0,0,0,0,0,0,0
LOC_Os01g69070,0,0,0,0,0,1,0,0
LOC_Os01g69830,0,0,0,0,8,0,1,0
LOC_Os01g70080,0,0,0,0,1,0,0,0
LOC_Os01g70410,0,0,0,0,2,0,0,0
LOC_Os01g70500,0,0,0,0,0,0,1,0
LOC_Os01g70570,7,0,0,0,0,0,0,0
LOC_Os01g70850,2,0,0,0,0,0,0,0
LOC_Os01g71330,0,0,0,0,0,1,0,0
LOC_Os01g71624,0,0,0,0,1,0,0,0
LOC_Os01g71690,0,0,0,0,3,0,0,0
LOC_Os01g72330,0,0,0,0,0,0,0,7
LOC_Os01g72460,0,0,0,0,9,0,1,0
LOC_Os01g72520,0,0,0,0,7,0,1,0
LOC_Os01g72530,0,0,0,0,0,0,1,0
LOC_Os01g72600,0,0,0,0,1,0,0,0
LOC_Os01g72610,0,0,0,0,3,0,0,0
LOC_Os01g72680,0,0,0,0,1,0,0,0
LOC_Os01g72810,0,0,0,0,1,0,0,0
LOC_Os01g73110,0,0,0,0,5,0,0,0
LOC_Os01g74020,8,0,0,0,0,0,0,0
LOC_Os01g74152,1,0,0,0,0,0,0,0
LOC_Os01g74490,0,0,0,0,1,0,0,0
LOC_Os01g74580,1,0,0,0,0,0,0,0
LOC_Os02g01210,0,0,0,0,0,1,0,0
LOC_Os02g01540,9,0,0,0,0,0,0,0
LOC_Os02g01590,0,0,0,0,13,0,11,0
LOC_Os02g01700,0,0,0,0,1,0,0,0
LOC_Os02g01710,0,0,0,0,3,0,0,0
LOC_Os02g01825,0,0,0,0,1,0,0,0
LOC_Os02g02400,0,0,1,0,0,0,0,0
LOC_Os02g02410,17,0,0,0,0,0,0,0
LOC_Os02g02524,5,0,0,0,0,0,0,0
LOC_Os02g02730,0,0,0,0,1,0,0,0
LOC_Os02g02780,0,0,0,0,1,0,0,0
LOC_Os02g02910,0,0,0,0,0,1,0,0
LOC_Os02g02930,0,1,0,0,0,0,0,0
LOC_Os02g02970,0,0,0,0,1,0,0,0
LOC_Os02g03280,16,0,0,0,0,0,0,0
LOC_Os02g03320,12,0,0,0,0,0,0,0
LOC_Os02g03410,0,0,0,0,1,0,0,0
LOC_Os02g03560,9,0,0,0,0,0,0,0
LOC_Os02g03620,1,0,0,0,0,0,0,0
LOC_Os02g03670,0,0,0,0,0,1,0,0
LOC_Os02g03710,0,0,0,0,0,0,0,1
LOC_Os02g04160,2,0,0,0,0,0,0,0
LOC_Os02g04170,0,1,0,0,0,0,0,0
LOC_Os02g04630,1,0,0,0,0,0,0,0
LOC_Os02g04640,0,0,0,0,7,0,1,0
LOC_Os02g04650,11,0,0,0,0,0,0,0
LOC_Os02g04780,0,0,0,0,1,0,1,0
LOC_Os02g04860,2,0,0,0,0,0,0,0
LOC_Os02g05470,0,0,0,0,0,2,0,0
LOC_Os02g05940,0,0,0,0,1,0,0,0
LOC_Os02g06090,0,0,0,0,1,0,1,0
LOC_Os02g06170,0,0,0,0,1,0,0,0
LOC_Os02g06530,1,0,0,0,0,0,0,0
LOC_Os02g06580,0,0,0,0,1,0,0,0
LOC_Os02g06820,1,0,0,0,0,0,0,0
LOC_Os02g06830,10,0,0,0,0,0,0,0
LOC_Os02g06930,0,0,0,0,3,0,0,0
LOC_Os02g07690,0,0,0,0,1,0,0,0
LOC_Os02g08320,0,0,0,0,1,0,0,0
LOC_Os02g08420,0,0,0,0,1,0,0,0
LOC_Os02g08440,0,0,0,0,3,0,2,0
LOC_Os02g08490,15,0,0,0,0,0,0,0
LOC_Os02g09310,1,0,0,0,0,0,0,0
LOC_Os02g09480,0,0,0,0,2,0,1,0
LOC_Os02g09530,0,0,0,0,2,0,0,0
LOC_Os02g09810,0,0,0,0,3,0,0,0
LOC_Os02g09830,0,0,0,0,6,0,4,0
LOC_Os02g10300,0,0,0,0,1,0,0,0
LOC_Os02g10310,0,0,0,0,2,0,1,0
LOC_Os02g10450,0,0,0,0,0,1,0,0
LOC_Os02g10470,0,0,0,0,2,0,0,0
LOC_Os02g10730,0,0,0,0,12,0,1,0
LOC_Os02g10740,3,0,0,0,0,0,0,0
LOC_Os02g10990,0,1,0,1,0,0,0,0
LOC_Os02g11070,0,0,0,0,5,0,2,0
LOC_Os02g11680,0,2,0,1,0,0,0,0
LOC_Os02g11859,0,0,0,0,6,0,2,0
LOC_Os02g11870,1,0,0,0,1,0,1,0
LOC_Os02g12350,1,0,0,0,0,0,0,0
LOC_Os02g12360,8,0,0,0,0,0,0,0
LOC_Os02g12750,0,0,0,0,1,0,0,0
LOC_Os02g12790,0,0,0,0,0,1,0,0
LOC_Os02g12870,0,0,0,0,1,0,0,0
LOC_Os02g13300,0,0,0,0,8,0,1,0
LOC_Os02g13350,0,0,0,0,0,0,0,2
LOC_Os02g13360,7,0,0,0,0,0,0,0
LOC_Os02g13580,0,0,0,0,1,0,0,0
LOC_Os02g13640,2,0,0,0,0,0,0,0
LOC_Os02g13780,0,0,0,0,1,0,0,0
LOC_Os02g13800,0,0,0,0,1,0,0,0
LOC_Os02g13900,0,0,0,0,2,0,0,0
LOC_Os02g14160,0,1,0,0,0,0,1,0
LOC_Os02g14430,0,0,0,0,1,0,0,0
LOC_Os02g14480,0,0,0,0,1,0,1,0
LOC_Os02g14840,0,0,0,0,3,0,0,0
LOC_Os02g14910,0,0,0,0,1,0,0,0
LOC_Os02g15250,0,0,0,0,1,0,0,0
LOC_Os02g15810,0,1,0,0,0,0,0,0
LOC_Os02g15930,63,0,31,0,0,0,0,0
LOC_Os02g16040,4,0,0,0,0,0,0,0
LOC_Os02g16640,1,0,0,0,0,0,0,0
LOC_Os02g16909,0,0,0,0,1,0,0,0
LOC_Os02g16940,0,0,0,1,0,0,0,0
LOC_Os02g17320,0,0,0,0,1,0,0,0
LOC_Os02g17500,1,0,0,0,0,0,0,0
LOC_Os02g18140,0,0,0,0,1,0,0,0
LOC_Os02g18390,6,0,0,0,0,0,0,0
LOC_Os02g18410,0,0,0,0,1,0,0,0
LOC_Os02g18450,0,0,0,0,0,0,0,1
LOC_Os02g19410,6,0,0,0,0,0,0,0
LOC_Os02g20930,4,0,0,0,0,0,0,0
LOC_Os02g20970,0,0,0,0,8,0,1,0
LOC_Os02g21009,0,0,0,0,0,0,0,2
LOC_Os02g21040,0,0,0,0,1,0,1,0
LOC_Os02g21230,1,0,0,0,0,0,0,0
LOC_Os02g22080,0,0,0,0,1,0,0,0
LOC_Os02g22100,0,0,0,0,0,1,0,0
LOC_Os02g22160,0,0,0,0,2,0,1,0
LOC_Os02g26470,1,0,0,0,0,0,0,0
LOC_Os02g26780,0,0,0,0,1,0,0,0
LOC_Os02g26810,0,0,0,0,1,0,0,0
LOC_Os02g28040,0,0,0,0,1,0,0,0
LOC_Os02g28720,0,0,0,0,1,0,0,0
LOC_Os02g28850,0,0,0,0,1,0,0,0
LOC_Os02g28980,5,0,0,1,0,0,0,0
LOC_Os02g29630,0,0,0,0,1,0,0,0
LOC_Os02g30110,0,1,0,0,0,0,0,0
LOC_Os02g30610,0,0,0,0,4,0,0,0
LOC_Os02g30900,0,0,0,0,2,0,0,0
LOC_Os02g30910,0,0,0,0,12,0,5,0
LOC_Os02g32140,0,0,0,0,1,0,0,0
LOC_Os02g32520,0,0,0,0,8,0,3,0
LOC_Os02g32580,0,0,0,0,15,0,3,0
LOC_Os02g32590,3,0,0,0,2,0,1,0
LOC_Os02g32780,0,0,0,0,0,1,0,0
LOC_Os02g33060,0,0,0,0,0,0,0,1
LOC_Os02g33230,6,0,0,0,0,0,0,0
LOC_Os02g33380,2,0,1,0,2,0,0,0
LOC_Os02g33560,2,0,0,0,0,0,0,0
LOC_Os02g33590,0,0,0,0,0,0,1,0
LOC_Os02g33680,0,0,0,0,5,0,0,0
LOC_Os02g33770,0,0,1,0,0,0,0,0
LOC_Os02g34410,0,0,0,0,2,0,1,0
LOC_Os02g34560,0,0,0,0,1,0,0,0
LOC_Os02g34600,0,0,0,0,7,0,2,0
LOC_Os02g34930,0,0,0,0,0,1,0,0
LOC_Os02g34970,0,0,0,0,1,0,0,0
LOC_Os02g35180,0,0,0,0,0,2,0,5
LOC_Os02g35490,0,0,0,0,1,0,0,0
LOC_Os02g35770,0,0,0,0,4,0,2,0
LOC_Os02g35780,0,0,0,0,1,0,0,0
LOC_Os02g35870,0,0,0,0,1,0,0,0
LOC_Os02g35970,0,0,0,0,0,1,0,0
LOC_Os02g36150,0,0,0,0,1,0,0,0
LOC_Os02g36210,0,7,0,2,0,0,0,0
LOC_Os02g36490,0,0,0,0,6,0,0,0
LOC_Os02g37000,6,0,0,0,0,0,0,0
LOC_Os02g37070,2,0,0,0,0,0,0,0
LOC_Os02g37590,0,0,0,0,1,0,0,0
LOC_Os02g37930,0,0,0,0,3,0,0,0
LOC_Os02g37970,0,0,0,0,3,0,4,0
LOC_Os02g38386,7,0,0,0,0,0,0,0
LOC_Os02g38392,3,0,0,0,0,0,0,0
LOC_Os02g38840,2,0,0,0,2,0,2,0
LOC_Os02g39330,0,0,0,0,3,0,0,0
LOC_Os02g39390,2,0,0,0,0,0,0,0
LOC_Os02g39790,0,0,0,0,1,0,0,0
LOC_Os02g39850,0,0,0,0,1,0,0,0
LOC_Os02g39884,3,0,0,0,0,0,0,0
LOC_Os02g40260,0,3,0,0,0,0,0,0
LOC_Os02g40454,0,0,0,0,0,1,0,0
LOC_Os02g40700,0,0,0,0,1,0,0,0
LOC_Os02g40784,0,0,0,0,1,0,0,0
LOC_Os02g40900,14,0,0,0,0,0,0,0
LOC_Os02g41500,0,0,0,0,1,0,0,0
LOC_Os02g41510,0,0,0,0,0,0,1,0
LOC_Os02g41520,0,0,0,0,1,0,0,0
LOC_Os02g41580,0,0,0,0,2,0,0,0
LOC_Os02g41670,0,0,0,0,2,0,0,0
LOC_Os02g41840,0,0,0,0,7,0,0,0
LOC_Os02g41890,0,0,0,0,1,0,0,0
LOC_Os02g41954,0,0,0,0,6,0,1,0
LOC_Os02g42585,0,0,0,0,6,0,0,0
LOC_Os02g42850,0,0,0,0,1,0,0,0
LOC_Os02g42890,6,0,0,0,0,0,0,0
LOC_Os02g42990,0,0,0,0,1,0,1,0
LOC_Os02g43020,12,0,0,2,0,0,0,0
LOC_Os02g43330,0,0,0,0,17,0,3,0
LOC_Os02g43460,0,0,0,0,1,0,0,0
LOC_Os02g43540,0,0,0,0,2,0,0,0
LOC_Os02g43560,0,0,0,0,1,0,0,0
LOC_Os02g43770,0,0,0,0,10,0,3,0
LOC_Os02g43790,0,0,0,0,1,0,0,0
LOC_Os02g43920,0,0,0,0,1,0,0,0
LOC_Os02g43940,0,0,0,0,5,0,0,0
LOC_Os02g44090,0,0,0,0,9,0,1,0
LOC_Os02g44770,11,0,0,0,1,0,0,0
LOC_Os02g44870,0,0,0,0,15,0,4,0
LOC_Os02g44930,0,0,0,0,1,0,0,0
LOC_Os02g45200,0,0,0,0,1,0,0,0
LOC_Os02g45310,0,1,0,0,0,0,0,0
LOC_Os02g45380,0,0,0,0,2,0,0,0
LOC_Os02g45420,0,0,0,0,5,0,1,0
LOC_Os02g45670,0,0,0,0,0,1,0,0
LOC_Os02g45780,1,0,0,0,1,0,0,0
